,0,1,2,3,4,5,6
280,上海市,市辖区,91310120569646295T001V,上海星可高纯溶剂有限公司,化学试剂和助剂制造,2022-08-12至2027-08-11,2020-08-01
281,上海市,市辖区,91310000703006222W001U,威士伯涂料（上海）有限公司,涂料制造,2022-08-13至2027-08-12,2022-08-13
282,上海市,市辖区,913101147557117918001Q,上海瀛之宝化工涂料有限公司,涂料制造,2021-09-18至2026-09-17,2021-09-18
283,上海市,市辖区,91310114607728022D001Q,上海马士达实业有限公司,涂料制造,2022-08-12至2027-08-11,2022-08-12
284,上海市,市辖区,91310000607206523K001V,上海帕卡濑精有限公司,专项化学用品制造,2022-08-12至2027-08-11,2022-08-12
285,上海市,市辖区,91310000607200180E002V,上海氯碱化工股份有限公司（华胜区域）,无机碱制造,2022-08-11至2027-08-10,2022-08-11
286,上海市,市辖区,913100006073914825001P,上海东方罗门哈斯有限公司,初级形态塑料及合成树脂制造,2021-05-13至2026-05-12,2021-05-12
287,上海市,市辖区,91310000766462540L001P,赢创特种化学（上海）有限公司,有机化学原料制造,2021-09-23至2026-09-22,2021-09-23
288,上海市,市辖区,91310116MA1JEARCXP001U,上海复彦新材料有限公司,涂料制造,2022-07-22至2027-07-21,2022-07-22
289,上海市,市辖区,913101165618596592002Q,千浪化研新材料（上海）有限公司,涂料制造,2022-07-21至2027-07-20,2022-07-21
290,上海市,市辖区,91310000607369322U001C,德谦（上海）化学有限公司,初级形态塑料及合成树脂制造,2022-07-25至2027-07-24,2022-07-20
291,上海市,市辖区,91310116682257857Y001C,上海久绿生物有机肥有限公司,有机肥料及微生物肥料制造,2022-07-11至2027-07-10,2022-07-08
292,上海市,市辖区,913101168341482712001C,上海神鸣生物有机肥料厂,有机肥料及微生物肥料制造,2022-07-11至2027-07-10,2022-07-08
293,上海市,市辖区,91310000596413550M001V,中远关西涂料（上海）有限公司,涂料制造,2022-07-06至2027-07-05,2022-07-06
294,上海市,市辖区,913101207421280707001P,上海黛龙生物工程科技有限公司,有机化学原料制造,2020-09-30至2023-09-29,2020-09-29
295,上海市,市辖区,91310120750319192F001U,上海康美特科技发展有限公司,其他专用化学产品制造,2022-06-24至2027-06-23,2022-06-23
296,上海市,市辖区,91310116777620153K001X,上海三科涂料化工有限公司,涂料制造,2021-12-27至2026-12-26,2021-12-27
297,上海市,市辖区,91310000703010731K001V,上海信守助剂有限公司,专项化学用品制造,2020-08-20至2023-08-19,2020-08-20
298,上海市,市辖区,91310000779319495H001V,奎克化学（中国）有限公司,化学试剂和助剂制造,2022-06-20至2027-06-19,2022-06-20
299,上海市,市辖区,91310116586817412J001W,上海华谊涂料有限公司,涂料制造,2021-12-01至2026-11-30,2021-12-01
300,上海市,市辖区,9131023058349470XY001Q,上海胜维有机肥有限公司,有机肥料及微生物肥料制造,2022-03-24至2027-03-23,2022-03-24
301,上海市,市辖区,9131011667623697XT001V,上海嘉宝莉涂料有限公司,涂料制造,2022-06-06至2027-06-05,2022-06-06
302,上海市,市辖区,9131000066941175X4001V,博德精细化工（上海）有限公司,化学试剂和助剂制造,2020-08-01至2023-07-31,2020-08-01
303,上海市,市辖区,91310000054561567R001P,三井化学功能复合塑料（上海）有限公司,初级形态塑料及合成树脂制造,2021-12-21至2026-12-20,2021-12-09
304,上海市,市辖区,91310000770246138T001V,梯希爱（上海）化成工业发展有限公司,化学试剂和助剂制造,2022-05-06至2027-05-05,2022-05-06
305,上海市,市辖区,91310115630602372F001Q,上海海菱润滑脂二厂有限公司,其他专用化学产品制造,2020-08-21至2025-08-20,2020-08-21
306,上海市,市辖区,913101157793370013002V,中国石化催化剂有限公司上海分公司,化学试剂和助剂制造,2022-04-29至2027-04-28,2022-04-29
307,上海市,市辖区,913100007178697748001P,三菱化学化工原料（上海）有限公司,有机化学原料制造,2022-04-15至2027-04-14,2022-04-15
308,上海市,市辖区,91310120736676409E001V,浦杰香料（上海）有限公司,香料、香精制造,2020-08-28至2023-08-27,2020-08-27
309,上海市,市辖区,913100007109366398001P,上海亨斯迈聚氨酯有限公司,初级形态塑料及合成树脂制造,2022-01-01至2026-12-31,2021-11-08
310,上海市,市辖区,913101153123088560001Q,上海仁速新材料有限公司,其他专用化学产品制造,2020-08-21至2025-08-20,2020-08-21
311,上海市,市辖区,913101121326048772001V,上海京华化工厂有限公司,无机盐制造,2022-03-10至2027-03-09,2022-03-10
312,上海市,市辖区,91310120751474151B001U,上海惠广精细化工有限公司,其他专用化学产品制造,2020-08-26至2023-08-25,2020-08-25
313,上海市,市辖区,913101201340477444001V,上海申光食用化学品有限公司,其他专用化学产品制造,2020-12-03至2023-12-02,2020-12-02
314,上海市,市辖区,91310116557495418A001Q,笙翔实业（上海）有限公司,涂料制造,2022-03-02至2027-03-01,2022-03-02
315,上海市,市辖区,91310000710936612G001P,上海巴斯夫聚氨酯有限公司,有机化学原料制造,2022-02-28至2027-02-27,2022-02-28
316,上海市,市辖区,91310000MA1K38CF47006P,中国石化上海高桥石油化工有限公司化工部,有机化学原料制造,2022-01-01至2026-12-31,2021-11-12
317,上海市,市辖区,91310116MA1JBPMC24001U,上海召巨新材料科技有限公司,涂料制造,2022-02-16至2027-02-15,2022-02-16
318,上海市,市辖区,913101167505915598001V,上海台界化工有限公司,专项化学用品制造,2022-02-15至2027-02-14,2022-02-15
319,上海市,市辖区,913101166958395309001V,上海奥威日化有限公司,专项化学用品制造,2022-02-15至2027-02-14,2022-02-15
320,上海市,市辖区,913101157295153402001U,上海欧利生东邦涂料有限公司,涂料制造,2020-07-27至2025-07-26,2020-07-27
321,上海市,市辖区,91310000133501183B001Q,康达新材料（集团）股份有限公司,其他专用化学产品制造,2020-08-25至2023-08-24,2020-08-24
322,上海市,市辖区,91310120134021982J001V,上海荣建化工厂有限公司,无机盐制造,2020-06-19至2023-06-18,2020-06-18
323,上海市,市辖区,91310116662439397N001V,上海试四化学品有限公司,化学试剂和助剂制造,2022-01-27至2027-01-26,2022-01-27
324,上海市,市辖区,91310114631657842B001Y,上海中翔精细化工有限公司,专项化学用品制造,2022-01-26至2027-01-25,2022-01-26
